NomePES;DescricaoPES;NomeFVS;DescricaoFVS;Nivel;ItemVerificacao;ValidacaoItem;EtapaItem
8.5.1/01-02-01;Locação de Obra;8.6.1/ 01-02-01;Locação de Obra;Obra;Condições para início do serviço;Verificar se todos os projetos e informações estão ao acesso do executor, se as ferramentas e aparelhos envolvidos estão em condições. ;
;;;;;Ponto referencial;Verificar a existencia de uma ponto referencial e se o mesmo está cadastrado no aparelho e nos projetos.;
;;;;;Visada, limpeza do terreno e sinalização da via;Conferir se o ponto referencial atende a visada de locação, se não há algum obstáculo interferindo o trabalho. Se o terreno está limpo e, no caso de vias já existentes, verificar se foi feita a sinalização da pista.;
;;;;;Estacionamento do aparelho, ré e locação do ponto;Verificar se o aparelho foi estacionado com precisão, se foi realizado a ré para confirmação das coordenadas do aparelho.;
;;;;;Locação do ponto;Verificar se o ponto está  locado com precisão e as estacas estão aprumadas, e com as cotas devidas.;
8.5.1/01-02-02;Escavação Manual ou Mecânica;8.6.1/ 01-02-02;Escavação Manual ou Mecânica;Obra;Pré-requisitos e cuidados iniciais;Verificar nos projetos se as marcações estão coerentes, verificar se há alguma interferencia ou obstaculo no local marcado, verificar se há necessidade de ajustar cotas marcações ou informações no projeto.;
;;;;;Locação complementar ;Verificar se feito uma marcação no eixo da com tinta ou material granular de cor difernte do terreno para referência da escavação.                     Verificar se foi colocado uma linha de referencia para conferencia da escavação. Verificar em projeto ou ordem de serviço de a largura da vala atende a tubulação ;
;;;;;Escavação mecânica;Converir antes de iniciar a escavação os instrumentos de  medição (gabarito, nivel de mão, linha e trena) estão corretos e atendem ao serviço, Verificar se a escavação está sendo rampada para profundidades acima de 1,25m e inferior a 3,00m, para maiores profundidades deverá ser aberto um patamar em degrau ou utilizar escoramento de vala.                                   ;
;;;;;Segurança na escavação;Verificar se a operação do equipamento não está colocando em risco a segurança dos trabalhadores.Verificar se o terreno não apresente trincas ao longo da vala, se o material escavado está sendo depositado a uma distancia segura da beira da vala ( acima de 1,0m de afastamento) para valas ate 2,00m de profundidade para terrenos estaveis.;
;;;;;Verificação final;Conferir as cotas de escavação tirando como referencia as marcações topograficas, estipulando uma tolelancia maxima de 5 cm para terreno natural (argila, silte ou arenoso) e 10cm para terreno rochoso.;
8.5.1/01-02-03;Escoramento para ancoragem;8.6.1/ 01-02-03;Escoramento para ancoragem;Obra;Necessidade do escoramento;Considerar os seguintes tópicos: *Para valas com profundidade inferior a 1,25 m utiliza-se escoramento quando as paredes laterais forem constituídas de solo passível de desmoronamento, ou quando constate-se a possibilidade de alteração da estabilidade do que estiver próximo à região dos serviços. *Para escavações com profundidade maior que 1,25m é obrigatória a confecção de rampas, ou bancadas, ou escoramento descontínuo (pontaleteamento) e se necessário outras técnicas de estabilização como retaludamento, atirantamento, paredes protegidas por cortinas de escoramento, grampeamento ou impermeabilização.;
;;;;;Escavação e  materiais utilizados;Avaliar: *No caso de escavação manual, o escoramento deve ser executado concomitantemente à escavação, ficando a profundidade da vala, limitada em até 2,00m.  *No caso de escavação mecânica, a distância máxima entre o último ponto escorado e a frente da escavação deve ser de 2,00 m. *Os materiais usados devem ser isentos de trincas, falhas ou nós, para não comprometer a resistência aos esforços a suportar. ;
;;;;;Execução do escoramento;"O escoramento deve seguir as instruções listadas em PO referente ao assunto, sendo que o tipo de escoramento, o processo de cravação, a definição de comprimento da ficha e outas variáveis devem ser ser estabelecidas por projeto, quando não houver especificações em projeto a Engenharia deve fazer as determinações. Devem ser tomados alguns cuidados especiais: *As estroncas devem ficar rigorosamente perperdiculares ao plano do escoramento; *Para se evitar sobrecarga no escoramento, o material escavado deverá ser colocado a uma distância da vala equivalente, de no mínimo, sua profundidade; *Evitar a entrada e/ou percolação de água na vala.";
;;;;;Taludes;Em determinados casos, dependendo da profundidade da cava e das condições do solo escavado o escoramento poderá ser dispensado e substituído por taludes, a inclinação dos taludes será definida pela Engenharia, de acordo com as condições locais. O que for definido pela Engenharia deve ser registrado e executado.;
;;;;;Remoção do escoramento;"Verificar: *A remoção do escoramento se realizará simultaneamente com o reaterro da cava. As estacas pranchas poderão ser elevadas e/ou retiradas progressivamente, a medida que for sendo realizado o reaterro; *Se o escoramento tiver que ser deixado definitivamente na vala, deve ser retirada da cortina de escoramento uma faixa de proximadamente 90 cm abaixo do nível da existente.";
8.5.1/01-02-05;Execução de Fundação para Tubulação;8.6.1/ 01-02-05;Execução de Fundação para Tubulação;Obra;Pré-requisitos e cuidados iniciais;"Considerar os seguintes tópicos: *O terreno deve estar limpo; *Já deve ter sido escavado até as cotas definidas para execução ou apoio das fundações; ";
;;;;;Início do processo ;"Verificar: *O berço para receber a tubulação, pode ser feito no próprio solo (quando esse apresentar características satisfatórias), em cascalho, concreto, etc, não sendo necessária a execução de estruturas de fundação; *A superfície dos berços, sobre o qual se apoiará a tubulação, deverá ser lisa, uniforme e retilínea, sem pontos altos e baixos. *Se os tubos forem assentados por meio de guindaste com eslingas, deverão ser escavados pequenos sulcos no berço para facilitar a remoção das eslingas debaixo dos tubos.";
;;;;;Embasamento;Avaliar: *O contato entre o fundo e a fundação na qual ele irá assentar-se é o leito do tubo. Todo um ótimo serviço de nivelamento e assentamento poderá ser perdido, caso não seja dada a devida importância à base onde se assentará o tubo. *A espessura da camada de embasamento será variável e determinada de acordo com a natureza do terreno e especificada em projeto. *Na execução e no acabamento da camada de embasamento deverão ser tomadas  precauções para garantir,  a declividade da tubulação estabelecida no projeto. *Para cada tipo de embasamento, deve-se verificar o PO.;
;;;;;Controle durante a execução;O controle dos materiais utilizado é de suma importância, para isso deve-se garantir que o concreto utilizado possua resistência mínima a compressão de 15 Mpa . Garantir também, a partir de verificações topográficas os níveis e declividade da fundação concluída.;
;;;;;Verificações finais;"Em caso de berços em concreto: Espera-se a peça concretada sem deformações, nichos ou brocas); Executar a melhoria da cura do concreto; Espera-se que a fundação executada seja capaz de receber e suportar a tubulação.";
8.5.1/01-02-06;Assentamento de Tubulação;8.6.1/ 01-02-06;Assentamento de Tubulação;Obra;Pré-requisitos e cuidados iniciais;"Verificar: *Locação topográfica deve estar concluída; *Fundo de vala / Berço preparado; *O assentamento do tubo na vala somente poderá ser iniciado após um rigoroso exame das condições do tubo e da vala, visando principalmente: • Localizar defeitos ou danos no tubo; • Verificar a natureza do fundo e o acabamento das paredes laterais da vala; *Os tubos deverão ser limpos de toda a sujeira e detritos;";
;;;;;Sentido da tubulação e início do assentamento;Avaliar: *O assentamento da tubulação deve ser executado de jusante para montante, com a bolsa voltada para montante, nas cotas e alinhamentos previstos no projeto. *Evitar choques entre os tubos e entre os tubos e o terreno. *Os tubos devem ser alinhados ao longo da vala, do lado oposto ao material escavado.;
;;;;;Assentamento dos tubos;"*Verificar se nenhum corpo estranho permaneceu dentro dos tubos e se os tubos não estão danificados;
Garantir que: *O tubos sejam posicionados e alinhados, efetuando-se o encaixe entre a ponta de um tubo e a bolsa do tubo subsequente. *Sob as bolsas, deverá existir um nicho no berço para garantir que estas não se apoiem sobre o fundo, e em especial, possa ser feito o rejuntamento da parte inferior da junta.";
;;;;;Juntas e reaterro;As juntas poderão  ser de aneis de borracha para tubulações de ferro ou PVC, e de argamassa no traço 1:3 caso seja tubulação de concreto ou ceramica.  Para tubulações menores deverá ser colocado manualmente material de reaterro em pontos estrategicos visando manter a tubulação intacta durante a execução do reaterro.;
;;;;;Conferências finais;Faz-se a conferência com auxílio de gabarito, réguas ou equipe de topografia, da declividade e alinhamentos da tubulação, que devem ser em conformidade com o descrito em projeto. Ao termino de cada jornada ou trecho de rede as pontas de rede deverá ser protegida ou tampada para evitar um entupimento.;
8.5.1/01-02-09;Execução de Caixas e Poços de Visita;8.6.1/ 01-02-09;Execução de Caixas e Poços de Visita;Obra;Pré-requisitos e cuidados iniciais;"Verificar se locação topográfica esta executada, indicando a localização e cotas; O local deve estar limpo, desimpedido o acesso e, em caso de necessidade com a pista sinalizada.";
;;;;;Escavação, remoção de material e regularização do fundo;"Garantir que  a escavação e remoção do material excedente, de forma a comportar a caixa de passagem prevista em projeto; Caso seja encontrado na cota prevista material de baixa capacidade de suporte (argila orgânica etc.), deverá ser feita sua remoção e substituição por material adequado, que será compactado em camadas de, no máximo, 20 cm de espessura; Regularização do fundo da cava e lançamento de lastro de concreto magro com consumo mínimo de cimento de 150 kg/m³;";
;;;;;Base e paredes;"Verificar se a execução da base de concreto simples está com 10 cm de espessura; A execução das paredes em alvenaria de tijolos cerâmicos maciços, assentados com argamassa de cimento e areia no traço 1:3 em volume, conectando a caixa/PV à rede condutora e ajustando o(s) tubo(s) de entrada e/ou saída à alvenaria executada, através de rejuntamento com a mesma argamassa; ";
;;;;;Canaleta interna e cinta superior;"Verificar se foi execução a canaleta interna, cuja largura será igual ao maior diâmetro interno da tubulação que passará pela caixa, com altura equivalente a 3/4 desse diâmetro.As almofadas deverão ter inclinação no sentido das calhas e serão confeccionadas em concreto não estrutural; *Execução da cinta superior em concreto simples e revestimento das paredes internas com argamassa de cimento e areia no traço 1:3 em volume, após a aplicação de chapisco 1:3 de cimento e areia;";
;;;;;Finalização e cuidados especiais;Após termino das caixas e poços de visita, verificar se antes do reaterro foi feito uma amarração do ponto pela equipe topografica, ou pelo encarregado do serviço.Caso seja o poço de visita no acabamento final, verificar se o tampão de ferro foi colocado adequadamente, e está no nivel do pavimento local.;
8.5.1/01-02-10;Reaterros;8.6.1/ 01-02-10;Reaterros;Obra;Cuidados iniciais;Deverão ser removidos entulhos, detritos, pedras, água e lama do interior da vala que será reaterrada. Previamente ao início do reaterro as tubulações devem ser envolvidas lateralmente. Recomenda-se que seja executado o reaterro a medida que forem removidos os escoramentos.;
;;;;;Lançamento do material;Verificar se o  lançamento do reaterro está sendo simultâneo, de ambos os lados da tubulação, evitando-se pressões desiguais ao redor do tubo. O lançamento do material deverá ser feito em camadas sucessivas, em toda a largura da seção transversal, e em extensões tais, que permitam seu umedecimento e compactação, quando especificada. Deve,  preferencialmente, ser composto por camadas horizontais sucessivas de espessura máxima de vinte centímetros.;
;;;;;Homogeinização;Verificar se a  homogeneização da camada está sendo utilizada, e a remoção ou fragmentação de torrões secos, remoção de material conglomerado, de blocos ou de matacões de rocha alterada e de matéria orgânica.;
;;;;;Compactação;O material deverá preferencialmente ser compactado na umidade ótima com  variação de 10% em função do tipo de solo. O reaterro será compactado por meios mecânicos. Far-se-á uso da compactação manual quando o acesso se tornar difícil ao equipamento mecânico. Aplicar pressões uniformemente distribuídas às estruturas e não ultrapassar nunca as cargas admissíveis das estruturas assentadas.;
;;;;;Verificações finais;Verificar se foi removido todo o entulho e excesso de material escavado. Em ruas pavimentadas, a limpeza do local concluir-se-á com a remoção de todo o material solto (varredura ou jato d’água). *Deve-se verificar se o reaterro não apresentará deformações e defeitos aparentes, antes de se proceder com a pavimentação das ruas. Caso a tubulação seja construida em locais não pavimentados, deverá ser recomposta a camada vegetal a fim de evitar possiveis erosões.;
