NomePES;DescricaoPES;NomeFVS;DescricaoFVS;Nivel;ItemVerificacao;ValidacaoItem;EtapaItem
 8.5.1/ 01-04-01;Locação e Acompanhamento Topográfico;8.6.1/ 01-04-01;Locação e Acompanhamento Topográfico;Obra;Condições para início do serviço;Verificar se todos os projetos e informações estão ao acesso do executor, se as ferramentas e aparelhos envolvidos estão em condições. ;
;;;;;Ponto referencial;Verificar a existencia de uma ponto referencial e se o mesmo está cadastrado no aparelho e nos projetos.;
;;;;;Visada, limpeza do terreno e sinalização da via;Conferir se o ponto referencial atende a visada de locação, se não há algum obstáculo interferindo o trabalho. Se o terreno está limpo e, no caso de vias já existentes, verificar se foi feita a sinalização da pista.;
;;;;;Estacionamento do aparelho, ré e locação do ponto;Verificar se o aparelho foi estacionado com precisão, se foi realizado a ré para confirmação das coordenadas do aparelho.;
;;;;;Locação do ponto;Verificar se o ponto está  locado com precisão e as estacas estão aprumadas, e com as cotas devidas.;
 8.5.1/ 01-04-02;Limpeza do Terreno;8.6.1/ 01-04-02;Limpeza do Terreno;Obra;Pré-requisitos e cuidados iniciais;Verificar nos projetos se as marcações da area estão coerentes, verificar se há alguma interferencia ou obstaculo no local marcado.Verificar a área de bota fora está liberada para descarte.;
;;;;;verificar as condições do terreno ;Verificar se há algum obstaculo que possa impedir o trabalho( linha de alta tensão, corrego, mina d'água, ravina, etc). Verificar se há  se há alguma area de preservação ou imune ao corte, e devidamente marcada com tinta branca.;
;;;;;Remoção da camada vegetal;Verificar se nas areas de aterro a camada vegetal está sendo removida por completa pelo menos 30cm a baixo do greide, podendo ser até 60cm caso nessessário.;
;;;;;Segurança no trabalho  ;Verificar se a operação do equipamento não está colocando em risco a segurança dos trabalhadores.Verificar se o corte ou desmatamento não está colocando em risco a segurança de trabalhadores.;
;;;;;Verificação final;Conferir se a limpeza foi feita dentro da area demarcada, Verificar se as vias estão isentas de camada vegetal e liberadas pra receber aterro (se for o caso);
 8.5.1/ 01-04-03;Terraplanagem: Corte;8.6.1/ 01-04-03;Terraplanagem: Corte;Obra;Pré-requisitos e cuidados iniciais;Verificar nos projetos se as marcações estão coerentes, verificar se há alguma interferencia ou obstaculo no local marcado que possa impedir a realização  serviço,  verificar se há necessidade de ajustar cotas marcações ou informações no projeto.;
;;;;;Escavação mecânica;Converir se no decorrer do serviço de escavação estã sendo utilizados os instrumentos de  medição (gabarito, nivel de mão, linha e trena), e estão  atendendo ao serviço, Verificar se a escavação está sendo rampada para profundidades maiores, e a rampa está sendo devidamente conferida pelo greidista.                                 ;
;;;;;Verificação do material escavado;Verificar com encarregado  se a destinação do material escavado está correta, destino bota fora ou deposito, verificar se com greidista se as cotas definidas para o corete estão sendo obedecidas, evitando cortes em excesso.;
;;;;;Segurança na escavação;Verificar se a operação do equipamento não está colocando em risco a segurança dos trabalhadores. Verificar se os equipamentos estão semdo empregados e operados da forma correta.;
;;;;;Verificação final;Conferir as cotas de escavação tirando como referencia as marcações topograficas, estipulando uma tolelancia maxima de 5 cm para terreno natural (argila, silte ou arenoso) e 10cm para terreno rochoso.;
 8.5.1/ 01-04-04;Terraplanagem: Aterro;8.6.1/ 01-04-04;Terraplanagem: Aterro;Obra;Serviços iniciais;Verificar se a marcação topografica do local está correta, se a área demarcada está com as estacas devidamente escritas com as cotas do greide , e se foi deixado as devidas folgas para execução do serviço, geralmente 50cm para cada lateral, ou 1,00 metro (quando executado a sarjeta e meio fio antes da base).;
;;;;;Limpeza do local  e subtituição de material.;Verificar se o local está limpo de entulhos, se foi retirado a camada vegetal na área marcada. Verificar com laboratorista se o material do local esta liberado par uso , e se a camada inferior dara suporte as demais.;
;;;;;Estabilidade do solo;Verificar se o solo é de boa qualidade, caso tenha alguma duvida deverá ser acionado um laboratorista de solo ou o engenheiro responsável, verificar se não apresenta indicios de lençol freatico ou minas d'água.;
;;;;;Camadas do aterro ;Verificar se as camadas estão sendo distribuidas na espessura máxima de 30 cm para camadas inferiores, e 20 cm para camadas finais( sub-leito e sub-base),  verificar se  estão sendo bem homogenizadas e alcançando a umidade ótima para iniciar a compactação.;
;;;;;Compactação e acabamento final;Verificar se foi realizado o ensaio de compactação nas camadas e se estas atingiram o grau minimo de 95% no proctor normal, para obras de maior porte. Verificar se o acabamento final da camada está coerente com a marcação, obedecendo os desniveis transversais e longitudinais da via. ;
 8.5.1/ 01-04-06;Regularização do Subleito;8.6.1/ 01-04-06;Regularização do Subleito;Obra;Pré-requisitos e cuidados iniciais;Verificar se a marcação topografica esta coerente com o projeto, se nas estacas está marcada as cotas de corte ou aterro. Verificar se o greidista está treinado e esclarecido da altura do corte e aterro a ser executado. ;
;;;;;Execução do serviço;Verificar se foi retirada toda a camada vegetal do leito viario, se não há presença de raizes e tocos, verificar se não há presença de água ou lençol freatico no local ( caso haja presença de lençol freatico deverá ser adotada medidas prevista no P.O 7.5.1/02-04;
;;;;;Execução do serviço;Verificar se o material foi devidamente escarificado, se está sendo gradeado e umedecido ou aerado para obter omogeneidade, atingindo a umidade ótima para iniciar a compactação.;
;;;;;Uso de equipamentos;Verificar se os equipamentos empregados no processo são os previstos no procedimento. Verificar se os equipamentos estão sendo utilizados de forma correta, se os operadores estão trabalhando com segurança e não colocando em risco segurança dos trabalhores. Verificar se está sendo sinalizada as vias com interferncia na realização do serviço.  ;
;;;;;Conferências finais;Verificar se a camada final do subleito está na cota prevista na marcação topografica, verificar se foi deixado as inclinações transversais prevista em projeto, verificar se foi realizado o ensaio de compactação da camada parqa liberação do serviço.;
 8.5.1/ 01-04-07;Estrutura do Pavimento (Base);8.6.1/ 01-04-07;Estrutura do Pavimento (Base);Obra;Pré-requisitos;Verificar se a locação topografica está com todas as estacas e com as devidas cotas marcadas, verivicar se a camada do subleito está liberada pelo laboratorista de solos. Verificar se a sarjeta e meio fio estão prontos    (quando estes forem executados em cima da camada do subleito).;
;;;;;Cuidados adicionais;Verificar se o material empregado na camada de base é o previsto no Procedimento Operacional, verificar se o serviço está sendo executado com  bom tempo (sem possibilidades de chuva).;
;;;;;Transporte e deposito do material;Verificar se o material está sendo apropriado corretamente, caso seja fornecido por terceiros deverá ser conferido a quantidade de material tranportada em cada caminhão, verificar se a quantidade de material colocada no leito da via é suficiente para execução da camada, devendo ser evitado o excesso de material no local.;
;;;;;Execução do serviço;Verificar se o material esta sendo bem homogeinizado, quando necessario pulverizar com caminhão pipa, ou aerado com trator de grade. Verificar a inexistencia  de corpos estranhos no material de base ( tocos, raizes e predas);
;;;;;Considerações finais;Verificar se a camada atingiu a cota prevista na locação topografica, verificar se foram deixado as inclinações transversais do pavimento, verificar se foi realizado o ensaio de compactação. Verificar se o acabamento final retirou todos os elementos soltos e foi passado o rolo liso para liberação e posterior imprimação. ;
 8.5.1/ 01-04-08;Imprimação;8.6.1/ 01-04-08;Imprimação;Obra;Pré-requisitos e cuidados iniciais;Camada de base pronta e liberada pelo laboratorista de solo após realização de ensaios de compactação. Inexistancia de solo solto no corpo estradal, Material disponivel para imprimação (CM-30);
;;;;;Equipamentos;Verificar se os equipamentos envolvidos no processo estão disponiveis para o uso, verificar se o material de imprimação esta disponivel com a quantidade necessária para realizar o serviço.;
;;;;;Execução do serviço;Verificar se não há ameassa de chuva após a imprimação, verificar se foi demarcado as laterais da via e se foi dividido a largura da via de forma que o caminhão espargidor fassa o espalhamento em duas ou três passadas evitando que seja sobreposta as camadas causando assim desperdicio de material.;
